"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Longrow Red 11yo Port Cask","8.77","0.38","14","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberfeldy 21yo","8.77","0.20","10","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Arran Malt Tokaji Aszu Wine Finish","8.77","0.36","4","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Hibiki 17yo","8.77","0.32","17","$$$$$","SingleMalt-like","EF","E","Japan","Blend"
"Old Pulteney 17yo","8.77","0.24","20","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Strathmill 25yo","8.77","0.44","4","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Breton Ice 17yo","8.77","0.09","3","$$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Bowmore 10yo Tempest","8.77","0.24","21","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Game of Thrones House Greyjoy Talisker Select Reserve","8.77","0.30","10","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Hakushu Single Malt Heavily Peated","8.77","0.32","12","$$$$$+","SingleMalt-like","I","I","Japan","Malt"
"Ardbeg An Oa","8.77","0.25","15","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Kelpie","8.77","0.17","11","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Big Peat Christmas Edition (2012-2016)","8.77","0.11","12","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Writers Tears Pot Still Cask Strength","8.77","0.4","10","$$$$","Scotch-like","","","Ireland","Blend"
"Yellow Spot 12yo","8.77","0.23","18","$$$$","Scotch-like","","","Ireland","Blend"
"High West Double Rye Manhattan Barrel","8.77","0.32","6","$$$","Rye-like","","R4","USA","Rye"
"Whistlepig 10yo","8.77","0.42","17","$$$$","Rye-like","","","Canada","Blend"
"AnCnoc 22yo","8.76","0.31","10","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach 18yo Tawny Port Finish","8.76","0.36","7","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenfiddich Snow Phoenix","8.76","0.37","11","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Smogen Sherry Project 1:3","8.76","0.26","3","$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Two Brewers Release 02 Special Finishes","8.76","0.62","3","$$$$","SingleMalt-like","ABC","B","Canada","Malt"
"Clynelish 14yo","8.76","0.27","18","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Cragganmore NAS (Special Release 2016)","8.76","0.62","5","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenfiddich Winter Storm 21yo Experimental Series No. 3","8.76","0.37","9","$$$$$+","SingleMalt-like","EF","F","Scotland","Malt"
"Hakushu 18yo","8.76","0.28","9","$$$$$","SingleMalt-like","EF","F","Japan","Malt"
"Mortlach Special Strength","8.76","0.59","6","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Balvenie 15yo Single Barrel (Cask)","8.76","0.39","24","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glencadam 30yo","8.76","0.22","3","$$$$$+","SingleMalt-like","GH","H","Scotland","Malt"
"Glenmorangie Spios Private Edition No 9","8.76","0.25","12","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Highland Park 12yo (reviews pre-2014)","8.76","0.27","20","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Port Charlotte Islay Barley Heavily Peated","8.76","0.20","6","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman Machir Bay (all vintages)","8.76","0.23","23","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ballantine's 17yo","8.76","0.31","15","$$$$","Scotch-like","","","Scotland","Blend"
"High West Bourye","8.76","0.38","10","$$$$","Rye-like","","R4","USA","Blend"
"J.P. Wiser's Red Letter","8.76","0.35","13","$$$$","Rye-like","","","Canada","Blend"
"Barrell Bourbon Batch 007","8.76","0.23","4","$$$$","Bourbon-like","","R3","USA","Bourbon"
"Old Forester Birthday (2012-2016)","8.76","0.16","12","$$$$$","Bourbon-like","","R2","USA","Bourbon"
"Balvenie 21yo Port Wood","8.75","0.38","21","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Bowmore 10yo Devil's Cask (all batches)","8.75","0.32","19","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Longrow Red 11yo Cabernet Sauvignon","8.75","0.44","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Nikka Coffey Malt","8.75","0.40","13","$$$$","SingleMalt-like","EF","E","Japan","Malt"
"Bruichladdich Laddie Sixteen 16yo","8.75","0.21","13","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenmorangie Tusail","8.75","0.31","16","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bruichladdich Infinity Third Edition","8.75","0.27","5","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Caol Ila 18yo","8.75","0.50","18","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Pure Malt Black","8.75","0.25","16","$$$","SingleMalt-like","I","I","Japan","Malt"
"Nikka Yoichi 12yo","8.75","0.18","9","$$$$$","SingleMalt-like","I","I","Japan","Malt"
"Springbank 12yo Green","8.75","0.3","8","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Octomore 6.1","8.75","0.29","17","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"The Irishman Cask Strength","8.75","0.22","5","$$$$$","Scotch-like","","","Ireland","Blend"
"Forty Creek Port Wood Reserve 2011/2012","8.75","0.24","12","$$$$","Rye-like","","","Canada","Blend"
"Baker’s 7yo Small Batch Bourbon","8.75","0.28","22","$$$","Bourbon-like","","R2","USA","Bourbon"
"Knob Creek Single Barrel Reserve Bourbon","8.75","0.28","15","$$$","Bourbon-like","","R2","USA","Bourbon"
"Aberlour 18yo","8.74","0.27","14","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Arran Malt Sassicaia Wine Cask Finish","8.74","0.18","5","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach Cask Strength (batch 5)","8.74","0.25","11","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenfarclas 17yo","8.74","0.28","21","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenfarclas 25yo","8.74","0.28","15","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Longmorn 16yo","8.74","0.33","18","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan Ruby","8.74","0.21","13","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Red Spot 15yo","8.74","0.29","6","$$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Springbank 15yo","8.74","0.22","20","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfiddich Cask of Dreams","8.74","0.21","8","$$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Mackmyra Moment Rimfrost","8.74","0.37","3","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Mackmyra Special 04","8.74","0.36","8","$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Mortlach 12yo","8.74","0.13","4","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bladnoch 19yo (Cow label)","8.74","0.22","4","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Caol Ila 12yo","8.74","0.18","22","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Oban 18yo","8.74","0.21","15","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Amrut Portpipe Peated Single Cask #2713 (2013)","8.74","0.14","4","$$$$","SingleMalt-like","J","J","India","Malt"
"Ardbeg Drum","8.74","0.19","9","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box Peat Monster (all editions)","8.74","0.25","23","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Connemara Turf Mor","8.74","0.45","11","$$$$","SingleMalt-like","J","J","Ireland","Malt"
"High West Campfire","8.74","0.30","15","$$$$","Scotch-like","","","USA","Blend"
"Forty Creek Heart of Gold","8.74","0.36","10","$$$$","Rye-like","","","Canada","Blend"
"Willett Family Estate 25yo Rye","8.74","0.44","3","$$$$$+","Rye-like","","R4","USA","Rye"
"Willett Family Estate Rye (all ages)","8.74","0.28","16","$$$$","Rye-like","","R4","USA","Rye"
"Jefferson's Ocean Aged at Sea","8.74","0.40","4","$$$$","Bourbon-like","","R3","USA","Bourbon"
"Aberlour A'Bunadh (Batch 50)","8.73","0.35","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach 18yo Allardice","8.73","0.37","20","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenmorangie Nectar d'Or","8.73","0.27","22","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 15yo Fire","8.73","0.34","11","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan Rare Cask Batch 1","8.73","0.37","12","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Scallywag Cask Strength (all batches)","8.73","0.07","5","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Amrut Bourbon Single Cask","8.73","0.34","13","$$$$","SingleMalt-like","EF","E","India","Malt"
"Glen Scotia 15yo","8.73","0.36","12","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Two Brewers Release 08 Innovative","8.73","0.44","4","$$$$","SingleMalt-like","EF","E","Canada","Malt"
"Hakushu 10yo","8.73","0.21","4","$$$","SingleMalt-like","GH","H","Japan","Malt"
"Bruichladdich Port Charlotte Scottish Barley Heavily Peated","8.73","0.25","17","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Paul John Bold","8.73","0.22","6","$$$","SingleMalt-like","I","I","India","Malt"
"Paul John Peated Select Cask","8.73","0.26","10","$$$$","SingleMalt-like","I","I","India","Malt"
"Two Brewers Release 12 Peated","8.73","0.13","3","$$$$","SingleMalt-like","I","I","Canada","Malt"
"Kilchoman 100% Islay (all editions)","8.73","0.23","19","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Forty Creek Confederation Oak (All Batches)","8.73","0.38","20","$$$","Rye-like","","","Canada","Blend"
"Barrell Bourbon Batch 004","8.73","0.30","7","$$$$","Bourbon-like","","R3","USA","Bourbon"
"Elmer T. Lee Single Barrel Bourbon","8.73","0.37","16","$$$","Bourbon-like","","R2","USA","Bourbon"
"Henry McKenna 10yo Single Barrel BiB","8.73","0.27","12","$$","Bourbon-like","","R1","USA","Bourbon"
"GlenDronach 21yo Parliament","8.72","0.34","21","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glengoyne Cask Strength (batch 1)","8.72","0.46","4","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Springbank 13yo Green","8.72","0.31","6","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Arran Malt Napoleon Cognac Finish","8.72","0.67","5","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Redbreast 12yo","8.72","0.41","23","$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Mackmyra Ten Years 10yo","8.72","0.12","7","$$$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Bruichladdich Port Charlotte An Turas Mor","8.72","0.25","12","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Crown Royal Hand Selected Barrel","8.72","0.27","12","$$$","Rye-like","","","Canada","Blend"
"Blanton's Gold Kentucky Straight Bourbon","8.72","0.40","17","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Maker's Mark Cask Strength","8.72","0.39","15","$$$$","Bourbon-like","","R0","USA","Bourbon"
"Orphan Barrel Barterhouse Bourbon 20yo","8.72","0.37","14","$$$$$","Bourbon-like","","R1","USA","Bourbon"
"Deanston 10yo PX Finish","8.71","0.45","5","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenrothes Minister's Reserve","8.71","0.15","4","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Macallan Classic Cut (all editions)","8.71","0.18","10","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Redbreast Lustau Edition","8.71","0.29","14","$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Teerenpeli Distiller’s Choice KARHI","8.71","0.13","3","$$$$","SingleMalt-like","ABC","C","Finland","Malt"
"Two Brewers Special Finishes (all releases)","8.71","0.18","4","$$$$","SingleMalt-like","ABC","B","Canada","Malt"
"Glenfiddich 19yo Age of Discovery (Bourbon Cask)","8.71","0.26","10","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenmorangie 18yo","8.71","0.27","19","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Redbreast 15yo","8.71","0.28","18","$$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Hakushu 12yo","8.71","0.22","20","$$$$","SingleMalt-like","GH","H","Japan","Malt"
"Highland Park 15yo Freya","8.71","0.38","14","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Port Ellen 2nd release 24yo 54.3%","8.71","0.69","3","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Springbank 10yo","8.71","0.24","22","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Kilchoman Spring 2011 Release","8.71","0.23","8","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Highwood Ninety Rye 20yo","8.71","0.34","12","$$","Rye-like","","","Canada","Blend"
"Jack Daniel's Single Barrel Rye","8.71","0.22","7","$$$","Rye-like","","R4","USA","Rye"
"Willett Family Estate 3yo Rye","8.71","0.42","9","$$$","Rye-like","","R4","USA","Rye"
"Elijah Craig 18yo","8.71","0.47","13","$$$$$","Bourbon-like","","R1","USA","Bourbon"
"Four Roses Single Barrel Bourbon","8.71","0.32","21","$$$","Bourbon-like","","R3","USA","Bourbon"
"Old Grand-Dad Bourbon 114","8.71","0.33","14","$$","Bourbon-like","","R3","USA","Bourbon"
"Yellowstone 2016 Limited Edition","8.71","0.43","3","$$$$$","Bourbon-like","","R3","USA","Bourbon"
"Glenfarclas 105","8.70","0.35","25","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Jura Brooklyn","8.70","0.25","7","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Mortlach 16yo (F&F)","8.70","0.27","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Smogen Sherry Project 1:1","8.7","0.12","3","$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Tomatin 18yo","8.7","0.2","14","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Box (High Coast) The Festival 2016","8.70","0.03","3","$$$$$","SingleMalt-like","EF","F","Sweden","Malt"
"Bruichladdich 21yo Cuvée 382 La Berenice","8.70","0.57","8","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Compass Box Rivals","8.70","0.17","5","$$$$$","SingleMalt-like","GH","G","Scotland","Blend"
"Glenfiddich 26yo Excellence","8.70","0.45","6","$$$$$+","SingleMalt-like","GH","G","Scotland","Malt"
"Spirit of Hven Tycho’s Star","8.7","0.28","6","$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Amrut Portpipe Peated Single Cask (all casks)","8.70","0.44","14","$$$$","SingleMalt-like","J","J","India","Malt"
"Compass Box Peat Monster 2005","8.70","0.09","4","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box Peat Monster 2012","8.70","0.30","10","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Cairdeas 2017","8.70","0.22","9","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"High West Double Rye (all bottlings)","8.70","0.32","19","$$","Rye-like","","R4","USA","Rye"
"High West Double Rye (pre-2018)","8.70","0.32","17","$$","Rye-like","","R4","USA","Rye"
"Wild Turkey Rare Breed","8.7","0.29","20","$$$","Bourbon-like","","R2","USA","Bourbon"
"Macallan Sienna","8.69","0.33","18","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Sheep Dip 1999 Amoroso Blended Malt","8.69","0.55","3","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Balvenie 25yo Single Barrel","8.69","0.77","4","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"AnCnoc 16yo","8.69","0.32","15","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Compass Box Lady Luck","8.69","0.41","6","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 17yo Ice","8.69","0.29","10","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Pure Malt White","8.69","0.33","13","$$$","SingleMalt-like","I","I","Japan","Malt"
"Compass Box Peat Monster 2015","8.69","0.18","4","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Triple Wood","8.69","0.34","20","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Canadian Rockies 21yo (40%)","8.69","0.09","3","$$$","Rye-like","","","Canada","Blend"
"Gooderham & Worts 17yo Little Trinity Three Grain (2017)","8.69","0.31","13","$$$$","Rye-like","","","Canada","Blend"
"Russell's Reserve 6yo Rye","8.69","0.29","7","$$$","Rye-like","","R4","USA","Rye"
"Barrell Bourbon Batch 005","8.69","0.47","5","$$$$","Bourbon-like","","R3","USA","Bourbon"
"Old Weller Antique 107","8.69","0.34","15","$$","Bourbon-like","","R0","USA","Bourbon"
"Aberlour 16yo Double Cask Matured","8.68","0.17","14","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glen Garioch 15yo Wine Cask Matured","8.68","0.25","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenrothes 18yo","8.68","0.32","6","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 15yo","8.68","0.21","14","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Karuizawa Asama Vintages 1999-2000","8.68","0.43","9","$$$$$+","SingleMalt-like","ABC","C","Japan","Malt"
"Knappogue Castle 16yo Twin Wood","8.68","0.43","7","$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Tomatin Cu Bocan 2005 Limited Edition","8.68","0.41","3","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Two Brewers Release 09 Special Finishes","8.68","0.33","3","$$$$","SingleMalt-like","ABC","B","Canada","Malt"
"Glenfiddich 15yo Distillery Edition","8.68","0.28","16","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan 18yo Fine Oak","8.68","0.21","7","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mortlach 18yo","8.68","0.61","10","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Storas 21yo Rare Cask Reserves Blended","8.68","0.13","4","$$$","SingleMalt-like","EF","E","Scotland","Blend"
"Arran Malt 14yo","8.68","0.24","23","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Kavalan Podium","8.68","0.30","10","$$$$","SingleMalt-like","GH","G","Taiwan","Malt"
"Amrut Peated Single Malt","8.68","0.29","14","$$$$","SingleMalt-like","J","J","India","Malt"
"Smogen Single Cask 4yo 20/2011","8.68","0.25","3","$$$$$","SingleMalt-like","J","J","Sweden","Malt"
"Chivas Regal 25yo","8.68","0.26","9","$$$$$+","Scotch-like","","","Scotland","Blend"
"Willett Family Estate 5yo Rye","8.68","0.37","5","$$$$","Rye-like","","R4","USA","Rye"
"Aberlour A'Bunadh (Batch 38)","8.67","0.19","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut Bengal Tiger PX Single Cask (Canada)","8.67","0.26","6","$$$$","SingleMalt-like","ABC","C","India","Malt"
"Benromach 15yo","8.67","0.45","12","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie The Taghta","8.67","0.30","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park Valknut","8.67","0.22","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tamdhu Batch Strength (all batches)","8.67","0.44","12","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"AnCnoc 18yo","8.67","0.31","12","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Garioch 12yo","8.67","0.30","18","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Mackmyra Special 03","8.67","0.30","7","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Yamazaki 12yo","8.67","0.29","26","$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Kilchoman Sanaig","8.67","0.25","16","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Miyagikyo 15yo","8.67","0.27","13","$$$$$","SingleMalt-like","I","I","Japan","Malt"
"Caol Ila Distiller's Edition (all editions)","8.67","0.35","16","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box Hedonism The Muse","8.67","0.61","4","$$$$$+","Scotch-like","","","Scotland","Blend"
"Grant's 18yo","8.67","0.32","6","$$$","Scotch-like","","","Scotland","Blend"
"Century Reserve 21yo","8.67","0.21","11","$$","Rye-like","","","Canada","Blend"
"Colonel E.H. Taylor Straight Rye","8.67","0.26","10","$$$$","Rye-like","","R4","USA","Rye"
"Forty Creek Double Barrel Reserve","8.67","0.41","12","$$$","Rye-like","","","Canada","Blend"
"Little Book Chapter 1 The Easy","8.67","0.26","9","$$$$","Rye-like","","","USA","Blend"
"Barton 1792 High Rye Bourbon","8.67","0.43","5","$$$","Bourbon-like","","R3","USA","Bourbon"
"Elijah Craig 12yo","8.67","0.27","24","$$","Bourbon-like","","R1","USA","Bourbon"
"Stagg Jr batch 7 (129.5 proof)","8.67","0.49","4","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Arran Malt Madeira Wine Cask","8.66","0.44","12","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 21yo Tawny Port Finish","8.66","0.26","5","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glencadam 14yo Oloroso Sherry Cask Finish","8.66","0.49","5","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glengoyne Cask Strength (all batches)","8.66","0.40","15","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenrothes Whisky Maker's Cut","8.66","0.33","4","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Ledaig 18yo","8.66","0.69","10","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Mortlach 15yo (Gordon & MacPhail)","8.66","0.36","14","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Oban Distillers Edition (all vintages)","8.66","0.25","16","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Sullivans Cove French Oak","8.66","0.28","8","$$$$$+","SingleMalt-like","ABC","C","Tasmania","Malt"
"Balvenie 12yo Single Barrel","8.66","0.35","13","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bunnahabhain 12yo","8.66","0.26","26","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Westland Single Cask","8.66","0.09","4","$$$$","SingleMalt-like","EF","E","USA","Malt"
"Caol Ila 15yo Unpeated","8.66","0.39","12","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Mackmyra The First Edition (Den Första Utgåvan)","8.66","0.33","17","$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Benromach 10yo","8.66","0.27","23","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Big Peat (Douglas Laing)","8.66","0.28","18","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Two Brewers Peated (all releases)","8.66","0.5","6","$$$$","SingleMalt-like","I","I","Canada","Malt"
"Bunnahabhain Toiteach A Dha","8.66","0.51","3","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Jura Prophecy","8.66","0.31","19","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Colonel E.H. Taylor Small Batch (BiB)","8.66","0.26","16","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Woodford Reserve Double Oaked","8.66","0.29","17","$$$$","Bourbon-like","","R2","USA","Bourbon"
"BenRiach 12yo Matured in Sherry Wood","8.65","0.22","17","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glengoyne Cask Strength (batch 2)","8.65","0.40","3","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Longrow Red 14yo Burgundy Wood","8.65","0.61","6","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Redbreast Mano a Lámh","8.65","0.37","4","$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Ichiro's Malt Double Distilleries","8.65","0.24","8","$$$$$","SingleMalt-like","EF","E","Japan","Malt"
"Two Brewers Release 04 Special Finishes","8.65","0.21","4","$$$$","SingleMalt-like","EF","E","Canada","Malt"
"Dun Bheagan Islay (all vintage editions)","8.65","0.17","7","$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Yoichi 10yo","8.65","0.28","18","$$$$","SingleMalt-like","I","I","Japan","Malt"
"Whyte & Mackay 30yo","8.65","0.2","4","$$$$$+","Scotch-like","","","Scotland","Blend"
"Angel’s Envy Rye (Rum-finished)","8.65","0.53","10","$$$$","Rye-like","","R4","USA","Rye"
"Crown Royal Noble Collection Wine Barrel Finished","8.65","0.49","8","$$$","Rye-like","","","Canada","Blend"
"Forty Creek Confederation Oak (Batch C, D)","8.65","0.40","4","$$$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Seasoned Oak 19yo","8.65","0.40","12","$$$$","Rye-like","","","Canada","Blend"
"Blanton's Original Bourbon Single Barrel","8.65","0.33","22","$$$","Bourbon-like","","R2","USA","Bourbon"
"Evan Williams Single Barrel","8.65","0.22","18","$$","Bourbon-like","","R1","USA","Bourbon"
"Yellowstone Limited Edition (all vintages)","8.65","0.37","3","$$$$$","Bourbon-like","","R3","USA","Bourbon"
"Compass Box The Story of the Spaniard","8.64","0.32","6","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Swiss Highland Classic Single Malt","8.64","0.38","4","$$$$$","SingleMalt-like","ABC","C","Switzerland","Malt"
"Balcones Texas Single Malt Whisky","8.64","0.30","16","$$$$","SingleMalt-like","EF","E","USA","Malt"
"Teerenpeli Distiller's Choice KASKI","8.64","0.27","4","$$$$","SingleMalt-like","EF","E","Finland","Malt"
"Arran Malt 12yo Cask Strength (all editions)","8.64","0.36","15","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glenglassaugh Torfa","8.64","0.34","7","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Kilchoman Sauternes Cask Matured","8.64","0.19","7","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Ileach Peated Islay Cask Strength","8.64","0.42","13","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Jameson 18yo Limited Reserve","8.64","0.27","11","$$$$$","Scotch-like","","","Ireland","Blend"
"Pike Creek 21yo Double Barrel Speyside Cask Finish (2017)","8.64","0.36","10","$$$$","Rye-like","","","Canada","Blend"
"Barton 1792 Sweet Wheat Bourbon","8.64","0.21","8","$$$$","Bourbon-like","","R0","USA","Bourbon"
"Buffalo Trace Experimental Collection 12yo floor #1 (rye, 2014)","8.64","0.12","3","$$$$$","Bourbon-like","","R1","USA","Bourbon"
"Maker's Mark 46","8.64","0.34","21","$$$","Bourbon-like","","R0","USA","Bourbon"
"Van Winkle Special Reserve 12yo Lot B","8.64","0.23","10","$$$$$+","Bourbon-like","","R0","USA","Bourbon"
"Balvenie 17yo Doublewood","8.63","0.30","15","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach 18yo Marsala Finish","8.63","0.11","5","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
